PLAYER_ID,POSITION,SEASON
76001,F,2022-23
76002,C,2022-23
76003,C,2022-23
51,G,2022-23
1505,F-G,2022-23
949,F,2022-23
76005,F,2022-23
76006,G,2022-23
76007,F,2022-23
203518,G,2022-23
1630173,F,2022-23
101165,G,2022-23
76008,G,2022-23
76009,C,2022-23
76010,F,2022-23
1643411,G,2022-23
203112,F,2022-23
76011,C,2022-23
76012,F,2022-23
200801,F,2022-23
1629121,G,2022-23
203919,G,2022-23
149,G,2022-23
203500,C,2022-23
912,F,2022-23
1628389,C-F,2022-23
1629061,F,2022-23
76015,G,2022-23
202399,F,2022-23
201167,G,2022-23
1630534,G,2022-23
200772,F-G,2022-23
76016,F,2022-23
201336,G,2022-23
76017,G,2022-23
201582,C,2022-23
76018,C,2022-23
203006,G,2022-23
1629152,G,2022-23
202374,C,2022-23
76019,F,2022-23
76020,C,2022-23
1630583,F-C,2022-23
203128,F-C,2022-23
202332,C,2022-23
200746,C-F,2022-23
76021,C,2022-23
1626146,F,2022-23
724,G,2022-23
2042,G,2022-23
76022,F,2022-23
201570,F,2022-23
1629734,F-C,2022-23
1641725,G,2022-23
1630234,G,2022-23
2349,F,2022-23
1629638,G,2022-23
76024,G,2022-23
1628959,G,2022-23
76028,F,2022-23
1628960,G,2022-23
1628386,C,2022-23
706,G,2022-23
1628443,G,2022-23
202730,F-C,2022-23
76027,G,2022-23
2124,F,2022-23
76025,F,2022-23
951,G,2022-23
1641851,F,2022-23
2754,G-F,2022-23
76029,F,2022-23
200984,C,2022-23
76030,F,2022-23
201165,G,2022-23
308,F,2022-23
1747,G,2022-23
1824,C,2022-23
1630631,G,2022-23
680,F-C,2022-23
732,F,2022-23
1643417,F,2022-23
202329,F,2022-23
200811,F,2022-23
76034,F,2022-23
2365,F-C,2022-23
2431,C,2022-23
101187,F-G,2022-23
202079,G,2022-23
1643515,G,2022-23
76035,G,2022-23
76036,G,2022-23
1507,G,2022-23
76037,G,2022-23
944,F,2022-23
246,C-F,2022-23
202341,G-F,2022-23
76040,G,2022-23
1626147,F-G,2022-23
72,G,2022-23
76041,F,2022-23
203937,F-G,2022-23
76042,G,2022-23
76043,F,2022-23
98,F-G,2022-23
76045,F,2022-23
76046,F,2022-23
201583,F,2022-23
1000,G-F,2022-23
335,G-F,2022-23
76048,C,2022-23
101149,C,2022-23
76049,F,2022-23
1628387,C-F,2022-23
76050,F,2022-23
1512,C,2022-23
1630828,F,2022-23
203507,F,2022-23
1628961,F,2022-23
203648,F,2022-23
2546,F,2022-23
1630175,G,2022-23
21,G,2022-23
201202,C,2022-23
203544,F-C,2022-23
1628384,F-G,2022-23
203951,G,2022-23
2737,C,2022-23
76053,F,2022-23
76054,G,2022-23
2425,F,2022-23
1627853,G,2022-23
76055,C,2022-23
2240,G,2022-23
2772,F,2022-23
76056,F,2022-23
76057,F,2022-23
769,G,2022-23
76061,C,2022-23
2220,G,2022-23
353,G,2022-23
200756,F-C,2022-23
76060,G,2022-23
1642379,G,2022-23
76059,G,2022-23
76062,F,2022-23
76063,G,2022-23
76064,F,2022-23
2306,G,2022-23
201589,F,2022-23
76065,G,2022-23
1628503,G,2022-23
201600,C,2022-23
355,F,2022-23
173,F-G,2022-23
76068,G,2022-23
76069,G,2022-23
1088,G,2022-23
76070,G,2022-23
76071,G,2022-23
278,F-G,2022-23
201571,G,2022-23
200788,F,2022-23
1134,C,2022-23
76073,G,2022-23
76074,F,2022-23
1630166,F,2022-23
138,C,2022-23
76076,G,2022-23
1895,G,2022-23
76078,C,2022-23
1630555,G,2022-23
202970,F-C,2022-23
201965,F-C,2022-23
1629028,C,2022-23
101235,G,2022-23
1628962,C-F,2022-23
203569,G,2022-23
202337,F,2022-23
76079,C,2022-23
76080,F,2022-23
1628407,G-F,2022-23
1630641,C,2022-23
76081,F,2022-23
2053,C,2022-23
76082,G,2022-23
1630542,F,2022-23
1628963,F,2022-23
1642846,F,2022-23
1641735,G,2022-23
76084,C,2022-23
76083,G,2022-23
76085,F,2022-23
1847,F,2022-23
1753,G,2022-23
203946,F-C,2022-23
1858,G,2022-23
2486,G,2022-23
76089,G,2022-23
1627758,G,2022-23
452,F,2022-23
1642380,G,2022-23
1627735,G,2022-23
1631116,F,2022-23
200764,F,2022-23
76090,F,2022-23
1630163,G,2022-23
1628366,G,2022-23
76091,F,2022-23
76092,F,2022-23
1628964,C,2022-23
1631094,F,2022-23
1630217,G,2022-23
76093,F,2022-23
2556,G,2022-23
76094,F,2022-23
76095,F,2022-23
1630625,F,2022-23
1627760,G,2022-23
76096,F,2022-23
2571,G,2022-23
76097,G,2022-23
200826,G,2022-23
200745,C-F,2022-23
76098,G,2022-23
76099,C,2022-23
787,F,2022-23
2057,G,2022-23
76102,F,2022-23
1631230,F,2022-23
203084,F,2022-23
76103,F,2022-23
76105,C,2022-23
76104,F,2022-23
2440,F,2022-23
1630567,F-G,2022-23
76107,G,2022-23
76106,G,2022-23
76108,G,2022-23
76109,G,2022-23
1642964,G,2022-23
76110,F,2022-23
76111,F,2022-23
76112,G,2022-23
76113,G,2022-23
2857,G,2022-23
76114,G,2022-23
1629628,F-G,2022-23
2853,F-C,2022-23
344,G,2022-23
699,G,2022-23
1003,G,2022-23
468,G,2022-23
600013,F,2022-23
76117,F,2022-23
76118,C,2022-23
203115,G,2022-23
101188,G,2022-23
76119,F,2022-23
101138,F,2022-23
1628238,F,2022-23
76120,F,2022-23
1629646,C-F,2022-23
1766,F,2022-23
2370,C,2022-23
76121,G,2022-23
1641734,F,2022-23
1628966,F,2022-23
101212,F-C,2022-23
2471,F,2022-23
1499,C,2022-23
2203,F,2022-23
1642419,F,2022-23
174,G,2022-23
76123,G,2022-23
76124,C,2022-23
201587,G-F,2022-23
1641878,G,2022-23
76125,F,2022-23
76126,G,2022-23
2437,F,2022-23
201573,G,2022-23
76127,F,2022-23
